arquivo,artista_ou_personalidade,marca_ou_veiculo,publicacao_origem
da7e06e3d75a2da9.jpg,Kaka,GQ Brasil,https://www.instagram.com/thiagobiagi/p/DYFSITtDuPU/
cb3f0150dad4fed9.jpg,Kaka,GQ Brasil,https://www.instagram.com/thiagobiagi/p/DYFSITtDuPU/
5eaa6216b8462a27.jpg,Wagner Moura,Dior / GQ Brasil,https://www.instagram.com/thiagobiagi/p/DRevkVQjt6l/
d8e9b6736454d738.jpg,Chay Suede,Gucci / GQ Brasil,https://www.instagram.com/thiagobiagi/p/DG3qc0zykOg/
766f52166fe8bfd4.jpg,Chay Suede,Salustiano Brasil,https://www.instagram.com/thiagobiagi/p/Dct_-a4FveK/
073fd129af8ee36b.jpg,Chay Suede,Salustiano Brasil,https://www.instagram.com/thiagobiagi/p/Dct_-a4FveK/
62489b8297fe4dd6.jpg,Joao Vicente de Castro,Dries Van Noten / Omega,https://www.instagram.com/thiagobiagi/p/DcrqMS_DpU0/
1ca8fac648af7040.jpg,Joao Vicente de Castro,Dries Van Noten / Omega,https://www.instagram.com/thiagobiagi/p/DcrqMS_DpU0/
213d3d37f25e5aaa.jpg,Tiago Moura,Saint Laurent,https://www.instagram.com/thiagobiagi/p/DcY8uHfjvfm/
aa2987ebd8182c59.jpg,Tiago Moura,Saint Laurent,https://www.instagram.com/thiagobiagi/p/DcY8uHfjvfm/
6c4ba3871b66e636.jpg,Chay Suede,Hermes / Prada,https://www.instagram.com/thiagobiagi/p/Db_cJNJlq5u/
481cd27ea5e66337.jpg,Chay Suede,Prada,https://www.instagram.com/thiagobiagi/p/Db_cJNJlq5u/
27b9bf3329fc420a.jpg,Joao Guilherme,Brioni / Cartier / Zerezes / Corrida dos Bichos / Prime Video,https://www.instagram.com/thiagobiagi/p/DbboPrpls1V/
92d9d8ad5cb71bce.jpg,Joao Guilherme,Brioni / Cartier / Zerezes / Corrida dos Bichos / Prime Video,https://www.instagram.com/thiagobiagi/p/DbboPrpls1V/
bf5d39b8231322e1.jpg,Editorial masculino,Gucci / Adidas / GQ Brasil,https://www.instagram.com/thiagobiagi/p/DYo9UZ9DtvW/
d40c5d7e3b4b0d42.jpg,Editorial masculino,Gucci / Adidas / GQ Brasil,https://www.instagram.com/thiagobiagi/p/DYo9UZ9DtvW/
53616e2e3e965565.jpg,Pedro Novaes,Dior / Bazaar Brasil,https://www.instagram.com/thiagobiagi/p/DYR14jrDpyG/
